timestamps,TP9,AF7,AF8,TP10,Right AUX
1678793439.629,40.039,4.883,32.715,82.031,117.188
1678793439.633,62.012,22.949,51.270,-23.926,51.270
1678793439.637,23.926,38.086,58.105,-81.055,-12.695
1678793439.641,-10.254,37.109,53.223,-13.184,10.254
1678793439.645,2.441,25.391,45.410,118.652,17.090
1678793439.649,41.016,29.297,49.805,142.090,-36.133
1678793439.652,41.504,41.992,58.594,19.043,-20.020
1678793439.656,12.695,52.734,60.547,-70.801,15.625
1678793439.660,8.301,55.176,66.406,19.043,-0.977
1678793439.664,20.020,44.922,63.477,158.203,34.180
1678793439.668,14.160,29.297,38.086,127.930,54.688
1678793439.672,35.645,36.621,44.922,17.578,51.270
1678793439.676,37.109,55.664,66.406,-49.805,17.578
1678793439.680,10.254,57.129,65.430,-11.719,23.926
1678793439.684,0.977,54.199,54.199,115.723,83.008
1678793439.688,28.320,58.105,51.758,156.738,41.992
1678793439.691,51.270,66.406,61.523,53.711,-15.625
1678793439.695,50.781,77.637,72.266,-49.316,37.598
1678793439.699,35.645,83.984,65.430,-20.508,88.379
1678793439.703,19.043,66.895,50.781,84.473,51.270
1678793439.707,56.152,57.129,64.453,161.621,-20.996
1678793439.711,53.223,53.223,67.383,67.871,-68.359
1678793439.715,-5.371,41.992,72.266,-90.332,-19.531
1678793439.719,-20.020,47.852,85.938,-80.078,0.977
1678793439.723,-16.113,40.039,67.383,38.574,-25.879
1678793439.727,-11.719,20.508,61.523,98.145,-20.996
1678793439.731,-5.859,14.160,67.871,7.324,33.203
1678793439.734,-17.578,25.391,73.730,-113.770,32.227
1678793439.738,-42.969,36.133,83.496,-106.934,17.578
1678793439.742,-27.344,34.668,80.566,20.508,21.973
1678793439.746,-0.977,24.902,65.430,92.285,5.859
1678793439.750,15.625,24.902,61.523,40.527,46.875
1678793439.754,24.902,30.273,76.660,-60.059,51.758
1678793439.758,-24.902,24.414,75.195,-110.352,54.199
1678793439.762,-60.059,26.367,62.012,-13.184,66.895
1678793439.766,-28.320,22.461,56.152,102.539,88.867
1678793439.770,14.648,15.137,56.641,75.684,57.129
1678793439.773,20.020,22.461,69.824,-39.551,31.250
1678793439.777,-13.672,33.691,82.031,-68.848,-5.371
1678793439.781,-42.969,26.855,70.312,3.418,5.371
1678793439.785,-24.414,14.160,58.105,95.703,37.598
1678793439.789,14.160,18.555,57.617,99.121,20.996
1678793439.793,2.441,20.020,59.082,-44.922,42.969
1678793439.797,-5.371,30.762,78.125,-93.750,-34.180
1678793439.801,-29.297,29.785,69.824,-5.859,-25.879
1678793439.805,-31.738,13.184,44.434,91.797,55.664
1678793439.809,10.742,12.207,48.340,92.773,-12.207
1678793439.812,21.973,25.391,59.082,-39.062,-53.223
1678793439.816,-3.906,36.133,70.312,-116.699,19.043
1678793439.820,-38.574,24.414,67.383,-61.035,99.609
1678793439.824,-38.086,8.789,56.152,64.941,89.844
1678793439.828,1.953,11.230,45.410,92.285,56.641
1678793439.832,17.090,37.109,55.664,-15.625,41.016
1678793439.836,-5.859,49.805,73.242,-108.887,2.930
1678793439.840,-23.926,44.434,69.824,-72.266,-11.719
1678793439.844,-16.113,38.574,54.688,54.199,8.301
1678793439.848,-0.488,28.320,36.621,89.844,41.016
1678793439.851,12.207,34.668,42.480,-13.672,51.270
1678793439.855,-6.836,47.363,58.594,-118.164,63.477
1678793439.859,-35.156,48.828,63.477,-84.961,53.223
1678793439.863,-17.578,42.969,60.059,49.805,-14.160
1678793439.867,16.602,34.668,47.363,113.770,-38.574
1678793439.871,22.461,32.227,42.969,32.227,9.766
1678793439.875,0.000,38.086,50.293,-88.867,64.453
1678793439.879,-24.902,46.387,58.594,-77.148,80.078
1678793439.883,-27.344,34.180,50.781,47.852,49.316
1678793439.887,3.906,31.738,41.504,136.230,65.430
1678793439.891,21.973,43.457,41.016,54.199,36.621
1678793439.894,-8.301,53.223,44.434,-91.797,1.465
1678793439.898,-20.020,69.336,60.059,-100.586,-2.441
1678793439.902,-26.367,61.035,61.523,16.113,-23.926
1678793439.906,-17.578,38.574,47.852,115.723,-57.617
1678793439.910,12.207,32.227,44.434,72.266,-25.879
1678793439.914,16.113,43.457,61.035,-46.875,7.324
1678793439.918,-5.859,54.688,70.801,-83.984,-14.160
1678793439.922,-1.465,45.898,67.871,28.320,31.250
1678793439.926,7.324,25.879,52.734,126.465,46.387
1678793439.930,23.926,21.484,53.223,90.332,50.293
1678793439.933,43.457,30.273,76.172,-16.602,20.508
1678793439.937,-2.930,21.973,71.777,-93.262,-23.438
1678793439.941,-31.250,12.207,58.594,-26.367,13.184
1678793439.945,-1.465,1.953,48.340,92.285,33.203
1678793439.949,26.367,-5.371,41.992,91.797,10.254
1678793439.953,13.184,2.930,55.664,-18.066,20.996
1678793439.957,-1.953,13.184,71.289,-93.262,63.965
1678793439.961,-12.695,16.113,66.895,-30.273,18.555
1678793439.965,-6.348,3.906,49.805,82.520,40.039
1678793439.969,20.020,1.953,41.504,81.055,62.012
1678793439.973,20.508,22.461,49.805,-33.203,-3.906
1678793439.976,16.602,38.574,71.777,-100.098,27.344
1678793439.980,-1.465,40.527,70.801,-55.664,57.617
1678793439.984,-22.461,22.949,40.039,54.199,24.902
1678793439.988,3.906,13.672,33.691,90.820,33.691
1678793439.992,31.738,19.531,46.387,-8.789,66.895
1678793439.996,14.160,23.438,52.734,-102.539,3.418
1678793440.000,-15.137,26.855,55.176,-60.547,-58.105
1678793440.004,-19.531,27.344,44.922,61.523,1.465
1678793440.008,-0.977,23.926,35.645,123.535,-24.902
1678793440.012,24.902,31.738,42.969,40.039,-65.918
1678793440.015,25.391,44.434,54.688,-92.285,-26.367
1678793440.019,-4.883,42.480,58.105,-76.172,23.926
1678793440.023,-12.695,40.039,50.781,67.871,22.949
1678793440.027,3.418,42.969,38.574,142.090,46.387
1678793440.031,22.949,54.688,41.016,70.801,28.320
1678793440.035,17.578,67.383,45.410,-51.758,-9.766
