Avg_value,TP9,AF7,AF8,TP10
-91.21574800507892,-30.13587305511756,-190.93950631130323,-114.63814729689564,-29.149465356999247
-88.65470125962165,-30.34530718950453,-179.44570672335527,-117.60809599742934,-27.21969512819743
-87.20059862355265,-3.434855588033799,-221.39421134311942,-122.36788703336467,-1.6054405296927314
-81.5016216879972,-24.301257111747017,-177.93374444507901,-100.0113931536334,-23.76009204152939
-85.28571728294186,-37.93788124566013,-167.57640992181206,-103.8235930071602,-31.804984957135066
-105.3080777657217,-62.953331943420004,-173.8239792512764,-123.95584574894671,-60.49915411924371
-101.44703300818396,-17.658900893008067,-243.67512428171085,-132.26200205854406,-12.192104799472899
-105.12848011784251,-29.009471844163656,-234.6785107530273,-132.25970917568077,-24.566228698498303
-78.07601349253277,-29.078167958281842,-152.16521393638922,-103.5343916277723,-27.526280447687704
-103.65414762301829,-32.644319342812956,-218.53122266954708,-132.93532793423617,-30.505720545476937
-87.37480423223525,-33.24652576084922,-173.50001418825798,-117.44549935822099,-25.307177621612805
-94.70480979569405,-31.342762975070684,-197.09885832096737,-120.20534961123947,-30.172268275498663
-101.72819727529654,-32.51477695664858,-224.7459475442271,-120.05328166295706,-29.598782937353366
-92.21665645158608,-28.7374727661759,-191.30662083848418,-120.46557452864141,-28.356957673042814
-94.54720145173576,-70.09579803213198,-141.65903201697057,-98.66676430725039,-67.76721145059008
-79.14021711664131,-1.752568046469025,-191.65118444017403,-121.890033439574,-1.2670825403481416
-82.2473824960266,-24.712534293348217,-177.88694423105264,-106.96393682833049,-19.426114631375075
-78.65761662697064,-7.682902834459544,-189.61038233515427,-110.41198024484642,-6.925201093422296
-88.93589932129072,-23.61406357354177,-197.946653892136,-111.7350042542959,-22.44787556518916
-88.16948703788539,-29.065797860273744,-175.45533326405896,-118.4657687791001,-29.691048248108753
-120.97455622406451,-101.59119524529358,-193.76704340507774,-98.34611666322647,-90.19386958266024
-63.967784341488404,-20.5685136579219,-118.14235557108886,-96.76462284145467,-20.39564529548819
-80.64033317545234,-3.5234271120032647,-196.70473738231814,-124.3078873017534,1.9747190942654653
-99.9173943361979,-28.37717743479221,-216.45905454035795,-132.19452859866837,-22.638816770973087
-84.00779390123236,-5.53527085077235,-207.1219639542944,-121.61441362471506,-1.7595271751476138
-78.47811536517634,-30.260535187548914,-146.05520683397486,-111.57573122049469,-26.020988218686867
-92.87148854175233,-32.93412574826535,-191.14080545515455,-118.03102149329071,-29.380001470298673
-89.56314741470965,-35.39201910340301,-177.94741739341046,-113.39155397306773,-31.52159918895739
-128.37257277930473,-88.89979017635818,-217.46399935324936,-119.94088371646315,-87.18561787114824
-75.0212602721971,-4.7882652873632265,-175.03784274330818,-119.82225494145139,-0.43667811666556805
-102.2597190166446,-27.81567780671269,-230.62895507010916,-122.79514142634471,-27.799101763411862
-79.2968128618249,-33.73885782134259,-152.86192515332328,-101.8623931018598,-28.724075370773953
-82.52169938165923,-28.77869542070832,-163.83823276172018,-109.06587856946463,-28.403990774743832
-80.7293599602323,-28.417559762378968,-160.3556739605054,-109.54746211267313,-24.59674400537169
-86.01170942786844,-30.719516616921183,-175.64961544749664,-108.69786101469066,-28.979844632365264
-95.20211137134642,-32.68075216947504,-207.41347862310036,-112.22182117956135,-28.492393513248956
-94.99098191664157,-23.572203261077604,-210.80441441436867,-118.5916072924626,-26.99570269865747
-84.92975584892099,-33.437323680186836,-169.93673507821114,-107.16739666378452,-29.177567973501507
-76.41021477487972,-22.984741294309277,-165.74736564032872,-95.39141791028482,-21.517334254596072
-85.22392059973635,-34.703694997529766,-158.39728953095218,-111.97883862317946,-35.81585924728399
-97.0664561472954,-33.10643678738625,-210.5191340278343,-114.86694023211754,-29.773313541843475
-85.29351724604217,-29.518457807038804,-174.8532591538151,-111.59816077810635,-25.20419124520846
-89.73992516866501,-31.267054041792367,-182.23924957056082,-119.02479968727295,-26.428597375033913
