Avg_value,TP9,AF7,AF8,TP10
-64.85683190237451,-12.23541630076902,-126.0229809998528,-117.62083109926003,-3.548099209616152
-97.5513447148671,-34.66422632115403,-159.51596307657823,-160.56511077207637,-35.46007868965977
-144.5894461623352,-35.901596304429184,-293.4439364633499,-214.0736027201288,-34.93864916143296
-107.64234215973804,-38.4506865391744,-191.7518928698914,-164.64025143348402,-35.72653779640237
-99.38615626935584,-32.24239370235207,-163.13306439875868,-173.21183558768413,-28.957331388628443
-164.78404584178887,-37.722597074447314,-337.1251353056074,-248.83418295197026,-35.454268035130454
-93.47034531039566,-28.112670285187125,-142.0380924014231,-176.22882358748814,-27.5017949674842
-166.2563535314173,-68.48419095485242,-309.5143714324819,-223.50981687219755,-63.51703486613733
-98.50243817161038,-28.629528821329384,-160.77544462438357,-179.59848397258799,-25.00629526814055
-118.6352442096776,-54.83173672695874,-195.55773818108486,-176.9373815422827,-47.21412038838407
-99.79574333238632,2.153772570651448,-211.2247519623833,-190.64188638413134,0.5298924463178635
-105.85202615846822,-31.726269854236406,-188.52525646860136,-172.13092324320874,-31.025655067826374
-83.97728427720418,-31.04421044509371,-149.1916139951569,-129.86203495270854,-25.811277715857553
-71.35416171317846,-40.68698545627539,-80.81855812043938,-121.74020295582386,-42.17090032017519
14.992587118030675,-10.470893427586644,75.02576566759352,5.267353682957248,-9.851877450841423
-156.12510823786027,-10.924724808627728,-387.82711097031836,-222.86732413142306,-2.8812730410719527
-155.33814288760902,-56.91355024183331,-287.604981326437,-221.61478917417895,-55.21925080798681
-105.01244872093204,-14.952526163802379,-195.69342736313916,-195.93035584377503,-13.473485513011612
-97.1097821807802,-29.40517477120348,-174.55965912396928,-159.27464823480898,-25.199646593139033
-109.32939763429073,-27.4740229282966,-206.87652931008276,-176.27644859970616,-26.690589699077414
-84.31876336153573,-33.062849535543194,-134.294919492575,-142.38398561106823,-27.533298806956537
-94.38476935588947,-28.999464966641963,-172.3534341708971,-153.57409227112683,-22.612086014891972
-21.36903410976641,152.05443076430134,-387.1188797271245,-0.7663184026482415,150.35463092640578
71.78697846285017,49.43301776274303,263.03931883361673,-80.23847733663091,54.91405459167184
-307.89736746899007,-260.5927072026368,-405.9074086674556,-305.48869245943246,-259.60066154643533
-265.08457502614453,-260.36093925156854,-309.2435831358577,-228.61827298145013,-262.11550473570173
-208.47377172341746,-146.21530143610352,-271.97312704361326,-271.7406260824834,-143.96603233146962
-161.16304345098357,-148.77616795566598,-188.67616364848138,-160.32227495652543,-146.87756724326138
-157.21606701464088,-121.27856275001066,-217.61961872077472,-170.37538604841828,-119.59070053935993
-94.5902222281534,-118.30709114850926,-67.56772500289547,-72.85461175818833,-119.63146100302053
213.07872979986018,347.1852149225924,70.26089075746096,56.703387560082916,378.1654259593045
-687.2661569063544,-920.6224171524213,-464.8196277050827,-437.2279997396066,-926.3945830283071
-401.5050342532585,-495.0299739366223,-364.24549282262615,-238.96125778974317,-507.78341246404227
